通し番号	章	章内の通番	英単語	品詞	訳
1	U5	1	safe	形	無事な、安全な
2	U5	2	toilet	名	便器
3	U5	3	disaster	名	災害
4	U5	4	emergency	名	緊急事態
5	U5	5	evacuation	名	避難
6	U5	6	site	名	用地, 会場, 遺跡
7	U5	7	fire	名	火, 火事
8	U5	8	drill	名	訓練
9	U5	9	type	名	類型
10	U5	10	natural	形	自然の
11	U5	11	helpful	形	役に立つ
12	U5	12	poster	名	ポスター
13	U5	13	safety	名	無事, 安全
14	U5	14	group	名	集団
15	U5	15	prepared	形	準備のできた
16	U5	16	must	助	〜しなければならない
17	U5	17	location	名	位置
18	U5	18	shelter	名	避難所
19	U5	19	advance	名	前進, 進歩
20	U5	20	community	名	地域社会
21	U5	21	center	名	中心、〈機能が集まった〉施設
22	U5	22	include	動	含める、含む
23	U5	23	in advance	句	前もって
24	U5	24	mustn't	短	must not の短縮形
25	U5	25	typhoon	名	台風
26	U5	26	leave	動	あとに残す、去る、出る
27	U5	27	window	名	窓
28	U5	28	lightning	名	稲妻
29	U5	29	tall	形	背の高い
30	U5	30	tree	名	木
31	U5	31	space	名	空間
32	U5	32	car	名	車
33	U5	33	stay away from ~	句	〜から離れた状態でいる
34	U5	34	get into ~	句	〜の中へ入る
35	U5	35	in a group	句	集団で
36	U5	36	earthquake	名	地震
37	U5	37	protect	動	保護する, かばう
38	U5	38	ourselves	代	私たち自身
39	U5	39	occur	動	起こる
40	U5	40	prepare	動	準備する
41	U5	41	head	名	頭
42	U5	42	save	動	救う、〈時間や力などを〉残しておく
43	U5	43	lives	■	lifeの複数形
44	U5	44	drop	動	落とす、体勢を低くする
45	U5	45	hold	動	つかむ
46	U5	46	evacuate	動	避難する
47	U5	47	depend	動	頼る
48	U5	48	situation	名	状況
49	U5	49	early	副	早く
50	U5	50	necessary	形	必要な
51	U5	51	hold on	句	つかまる
52	U5	52	in some cases	句	場合によっては
53	U5	53	depend on ~	句	〜次第である
54	U5	54	keep ~ing	句	〜し続ける
55	U5	55	if necessary	句	もし必要であれば
56	U5	56	post	名	郵便, 郵便物
57	U5	57	post office	名	郵便局
58	U5	58	to-do	形	やるべきことの
59	U5	59	list	名	一覧表
60	U5	60	badminton	名	バドミントン
61	U5	61	secure	動	確保する、固定する
62	U5	62	bookshelf	名	本棚
63	U5	63	take care of ~	句	〜の世話をする
64	U5	64	pamphlet	名	簡易の小冊子
65	U5	65	checklist	名	確認リスト
66	U5	66	content	名	<複数形で>中身, <単数形で>コンテンツ
67	U5	67	again	副	もう一度、再び
68	U5	68	flashlight	名	懐中電灯
69	U5	69	canned	形	缶詰めの
70	U5	70	water	名	水
71	U5	71	remember	動	覚えている、思い出す
72	U5	72	dial	動	ダイヤルを回す、電話をかける
73	U5	73	route	名	経路
74	U5	74	schedule	名	予定
75	U5	75	useful	形	役に立つ
76	U5	76	remember to ~	句	忘れずに〜する
77	U5	77	helmet	名	ヘルメット
78	U5	78	whistle	名	笛
79	U5	79	glove	名	手袋、グローブ
80	U5	80	coin	名	硬貨
81	U5	81	wallet	名	財布
82	U5	82	first-aid	形	応急の
83	U5	83	kit	名	用具一式
84	U5	84	toothbrush	名	歯ブラシ
85	U5	85	bottle	名	びん
86	U5	86	umbrella	名	傘
87	U5	87	charger	名	充電器
88	U5	88	call for ~	句	〜を求めて声を上げる
89	DL5	1	market	名	市場
90	DL5	2	tower	名	塔
91	DL5	3	line	名	線, <鉄道の>路線
92	DL5	4	subway	名	地下鉄
93	DL5	5	change	動	変える、<鉄道を>乗り換える
94	DL5	6	ticket	名	券, 切符
95	DL5	7	follow	動	従う、ついていく
96	DL5	8	May I ~?	句	〜してもよろしいですか。
97	DL5	9	Could you tell me the way to ~?	句	〜への道を教えていただけますか。
98	DL5	10	get off	句	降りる
99	DL5	11	change to ~	句	〜に乗り換える
100	DL5	12	how to ~	句	〜する方法
101	DL6	1	matter	名	事柄, 問題
102	DL6	2	pale	形	青白い
103	DL6	3	mm	間	うむ
104	DL6	4	headache	名	頭痛
105	DL6	5	should	助	〜したほうがよい
106	DL6	6	sick	形	病気の、気分が悪い
107	DL6	7	dizzy	形	目まいがして
108	DL6	8	stomachache	名	腹痛
109	DL6	9	doctor	名	医者
110	DL6	10	lie	動	横たわる
111	DL6	11	What's the matter?	句	どうかしましたか。
112	DL6	12	Are you OK?	句	大丈夫ですか。
113	DL6	13	take a rest	句	ひと休みする
114	DL6	14	Can I ~?	句	〜しましょうか。
115	DL6	15	take ~ to …	句	〜を…に連れていく
116	AG4	1	close	動	閉める、閉まる
117	AG4	2	hunting	名	狩り、探求
