通し番号	章	章内の通番	英単語	品詞	訳
1	U1	1	gift	名	贈り物
2	U1	2	same	形	同じ
3	U1	3	met	■	meetの過去形・過去分詞
4	U1	4	half	形	半分の
5	U1	5	else	副	そのほかに
6	U1	6	for the first time in ~	句	~ぶりに
7	U1	7	half a year	句	半年
8	U1	8	read	■	readの過去形・過去分詞
9	U1	9	rode	動	rideの過去形
10	U1	10	roller coaster	名	ジェットコースター
11	U1	11	view	名	眺め
12	U1	12	scary	形	こわい
13	U1	13	tournament	名	勝ち抜き戦、トーナメント
14	U1	14	coach	動	指導する
15	U1	15	other	形	ほかの、別の
16	U1	16	choice	名	選択、選ばれた人 [もの]
17	U1	17	honor	名	光栄なこと
18	U1	18	come out of ~	句	〜から外へ出る
19	U1	19	look for ~	句	〜を探す
20	U1	20	feel	動	~を感じる
21	U1	21	comic book	名	漫画本
22	U1	22	feel down	句	落ちこむ
23	U1	23	Thursday	名	木曜日
24	U1	24	sunny	形	晴れた
25	U1	25	awesome	形	すごい
26	U1	26	surprised	形	驚いて
27	U1	27	accept	動	受け入れる
28	U1	28	offer	名	申し入れ
29	U1	29	joy	名	喜び
30	U1	30	talk about ~	句	~について話す
31	U1	31	at first	句	最初は
32	U1	32	excited	形	わくわくして
33	U1	33	think	動	思う、考える
34	U1	34	angry	形	怒った
35	U1	35	nervous	形	緊張した
36	U1	36	cloudy	形	くもって
37	U1	37	made	■	makeの過去形・過去分詞
38	U1	38	myself	代	私自身
39	U1	39	movie	名	映画
40	U1	40	order	動	注文する
41	U1	41	came	■	comeの過去形
42	U1	42	lend	動	貸す
43	U1	43	lent	■	lendの過去形・過去分詞
44	U1	44	something	代	何か
45	U1	45	surprising	形	驚かせるような
46	U1	46	happen	動	起こる
47	U1	47	find	動	見つける
48	U1	48	found	■	findの過去形・過去分詞
49	U1	49	by oneself	句	自分で、ひとりで
50	U1	50	come up	句	近づく、やってくる
51	U1	51	have a good time	句	楽しい時間を過ごす
52	U1	52	be excited about ~	句	~にわくわくしている
53	U1	53	perfect	形	完全な、完璧な
54	U1	54	memory	名	記憶、記憶力、思い出
55	DL1	1	cycling	名	サイクリング
56	DL1	2	This is ~.	句	〈電話で〉こちらは〜です。
57	DL1	3	What's up?	句	どうしたの。
58	DL1	4	Why don't you ~?	句	~しませんか。
59	DL1	5	come with ~	句	~といっしょに来る [行く]
60	DL1	6	Can you ~?	句	~してもらえますか。
61	DL1	7	be there	句	そこにいる
