通し番号	章	章内の通番	英単語	品詞	訳
236	U7	1	perform	動	演じる、上演する
237	U7	2	international	形	国際的な
238	U7	3	crazy	形	狂った
239	U7	4	musical	名	ミュージカル
240	U7	5	than	前	〜よりも
241	U7	6	original	形	元の、独自の
242	U7	7	script	名	台本, 脚本
243	U7	8	theme	名	主題, テーマ
244	U7	9	friendship	名	友情
245	U7	10	come up with ~	句	〜を思いつく
246	U7	11	castle	名	城
247	U7	12	better	形	<good の比較級>よりよい
248	U7	13	spaceship	名	宇宙船
249	U7	14	normal	形	標準の、ふつうの
250	U7	15	teamwork	名	チームワーク
251	U7	16	most	副	<many/much の最上級>もっとも
252	U7	17	take place	句	起こる、行われる
253	U7	18	question	名	質問
254	U7	19	answer	名	答え
255	U7	20	rehearse	動	下稽古をする
256	U7	21	blow	動	吹く、飛ばす
257	U7	22	blew	■	blowの過去形
258	U7	23	break	名	小休憩
259	U7	24	overworked	形	働きすぎの
260	U7	25	anybody	代	だれでも、だれか、だれも
261	U7	26	acting	名	演技
262	U7	27	hey	間	おい、ちょっと
263	U7	28	calm	動	静める、静まる
264	U7	29	blow one's lines	句	せりふを忘れる
265	U7	30	take a break	句	休憩をとる
266	U7	31	calm down	句	落ち着く
267	U7	32	size	名	大きさ
268	U7	33	letter	名	文字, 手紙
269	U7	34	colorful	形	色鮮やかな
270	U7	35	eye-catching	形	人目を引く
271	U7	36	excitement	名	興奮
272	U7	37	chose	■	chooseの過去形
